/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-01_切り離された跡.md	571	一枚は答えない。	一枚の角は四つある。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-01_切り離された跡.md	665	そのままである。	埃の形は棚の板にある。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-02_手を上げる高さ.md	541	そのままである。	名札は運転席の側に残っている。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-03_下の名前の四文字.md	477	図面は答えない。	図面の余白は長い。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-03_下の名前の四文字.md	513	そのままである。	字の溝は紙に残っている。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-04_打ち継ぐ.md	409	そのままである。	前の人の語の端は切れている。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-05_四針目.md	305	布は答えない。	布の折り目は細い。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-14_はさみの前.md	165	予約票は答えない。	刃の合わせ目は閉じている。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-14_はさみの前.md	261	そのままである。	予約票の名は欄の中に残っている。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-15_次の人のために.md	265	語はそのままである。	線は語の末にある。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-16_取らない書式.md	155	欄は答えない。	！と！のあいだの空きは白い。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-17_口は、訊く形に動いて、音にならなかった。.md	137	一枚は答えない。	一枚の欄の中は空いている。
/Users/user/AI創作工房/soul-voice-teller/examples/habits-04/草稿/draft_04-18_まだ呼ばれていない名.md	355	一枚は答えない。	一枚の下の影は細い。
